property_id,property_name,city,property_type,max_guests,bedrooms,beds,bathrooms,living_room,kitchen,balcony,terrace,ac,wifi,parking,pool,tv,workspace,washing_machine,fridge,microwave,power_backup,price_per_night,price_3hr,price_6hr,price_9hr,cleaning_fee,service_fee_percent,estimated_total_1_night,estimated_total_3hr,estimated_total_6hr,estimated_total_9hr,rating,review_count,verified,available,available_from,available_to,hairdryer,heating,iron,hot_tub,ev_charger,breakfast,gym,bbq_grill,self_check_in,instant_book,free_cancellation,allows_pets,smoke_alarm,carbon_monoxide_alarm,step_free_access,accessible_parking,wide_guest_entry,step_free_bedroom,step_free_bathroom,host_languages,verification_score,verification_status
VST001,Urban Comfort Home 001,Delhi,Entire Home,6,4,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4600,1300,2200,3000,350,8,5318,1754,2726,3590,4.7,37,1,1,2026-09-24,2026-12-24,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST002,Green Garden Home 002,Mumbai,Apartment,6,3,5,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,5500,1550,2650,3600,450,8,6390,2124,3312,4338,4.5,66,1,1,2026-09-26,2026-12-27,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST003,City View Home 003,Bengaluru,Villa,3,2,2,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,5600,1550,2700,3650,450,8,6498,2124,3366,4392,4.2,95,1,1,2026-09-28,2026-12-30,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST004,Family Stay Home 004,Jaipur,Homestay,3,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2500,700,1200,1600,200,8,2900,956,1496,1928,4.8,124,1,1,2026-09-30,2027-01-02,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
VST005,Lake View Home 005,Goa,Studio,7,4,6,2,0,0,1,0,1,1,1,0,1,0,1,0,0,1,4800,1350,2300,3100,400,8,5584,1858,2884,3748,4.5,153,1,1,2026-10-02,2027-01-05,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST006,Modern Retreat Home 006,Varanasi,Entire Home,4,3,3,2,1,1,0,0,1,1,1,0,1,1,1,1,0,1,3000,850,1450,1950,250,8,3490,1168,1816,2356,4.3,182,1,1,2026-10-04,2027-01-08,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",1.0,Verified
VST007,Cozy Corner Home 007,Manali,Apartment,4,2,3,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,3600,1000,1750,2350,300,8,4188,1380,2190,2838,4.9,21,1,1,2026-10-06,2027-01-11,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,"English,Hindi",1.0,Verified
VST008,Heritage Home Home 008,Hyderabad,Villa,4,1,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,4200,1200,2000,2750,350,8,4886,1646,2510,3320,4.6,50,0,1,2026-10-08,2027-01-14,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",0.6,Needs  Review
VST009,Premium Residence Home 009,Kolkata,Homestay,5,4,4,2,1,1,0,1,1,1,1,0,0,1,1,1,0,1,3300,900,1600,2150,250,8,3814,1222,1978,2572,4.4,79,1,1,2026-10-10,2027-01-17,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,"English,Hindi,Marathi",1.0,Verified
VST010,Hill View Home 010,Agra,Studio,5,3,4,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,2600,750,1250,1700,200,8,3008,1010,1550,2036,4.1,108,1,1,2026-10-12,2027-01-20,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
